CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
148315;166503;14588;22903;98266;0;0;800
146301;178528;14222;21490;89661;0;0;808
148559;176757;14160;21660;89050;0;0;816
148925;184936;16663;21651;92529;0;0;824
154053;178284;14465;21905;93689;0;0;832
174377;216186;20813;22324;105041;1953;0;840
150329;180969;15931;21868;95031;0;0;848
151061;182556;14222;21828;93262;0;0;856
177856;204894;21057;21957;100708;0;0;864
151672;172973;14954;21852;93749;0;0;872
152405;178528;14160;21997;92651;0;0;880
151427;177062;14283;22229;92834;0;0;888
152771;180175;16602;22097;96802;0;0;896
154174;188721;14343;22179;94116;0;0;904
156554;189880;16479;22469;101746;0;0;912
155517;178283;14953;22566;97351;0;0;920
158874;187316;14893;22674;94482;0;0;928
175048;201721;17517;23046;100891;0;0;936
161986;191711;16479;22807;99243;0;0;944
158203;187560;15015;23149;97534;0;0;952
163391;191894;15564;23012;97900;0;0;960
164306;193175;16541;23008;99304;0;0;968
157776;195739;16785;23226;99609;0;0;976
172790;230224;21728;23364;103637;0;0;984
163269;197571;15624;23489;98449;0;0;992
168457;197265;15625;23677;102417;0;0;1000
170471;202086;15198;23504;97473;0;0;1008
168884;199585;15625;23652;97839;0;0;1016
165344;193603;17700;23963;104065;0;0;1024
169128;200439;17883;24020;102356;0;0;1032
166443;196289;15808;23983;101074;0;0;1040
167358;193603;16296;24421;102600;0;0;1048
172424;209472;15686;24136;101684;0;0;1056
172485;196228;16296;24125;101989;0;0;1064
167785;200622;16418;24419;106201;0;0;1072
173400;206848;16357;24699;101196;0;0;1080
382140;430663;32592;33357;151855;0;0;1088
176391;206603;16479;25188;105652;0;0;1096
174072;208373;17151;25144;107117;0;0;1104
172119;198242;16235;25004;105346;0;0;1112
180602;212280;16845;25219;109985;0;0;1120
175415;204956;16967;25473;105224;0;0;1128
178344;215026;16418;25248;109924;0;0;1136
181457;208129;18677;25567;113159;0;0;1144
182983;214843;17334;25601;110168;0;0;1152
180602;216979;16785;25451;105530;0;0;1160
187194;215088;18860;25599;114807;0;0;1168
611083;725950;69031;47232;225830;0;0;1176
184143;219909;18066;25760;111450;0;0;1184
189452;226318;20874;26050;115234;0;0;1192
186035;229064;18493;26382;110901;0;0;1200
200378;239746;20386;25953;116516;0;0;1208
184936;217590;17761;26149;113708;0;0;1216
184143;225769;19104;26445;112366;0;0;1224
187622;220520;17883;26702;114380;0;0;1232
187561;215270;17944;26671;112915;0;0;1240
193664;223754;18066;26873;113586;0;0;1248
191772;233215;18005;27319;117675;0;0;1256
190308;223754;18860;27346;114623;0;0;1264
193847;230712;19043;27228;118591;0;0;1272
195129;236145;19165;27440;116272;0;0;1280
399352;314880;37597;52179;232910;183;0;1288
252685;307006;30822;29293;135437;2319;0;1296
213073;255004;24902;28183;128173;1770;0;1304
206482;236938;20630;28252;128174;0;0;1312
204712;263549;23072;28599;128295;1832;0;1320
215148;275390;27832;29239;132934;4395;0;1328
209228;260314;24048;28642;125855;2563;0;1336
550292;676023;60547;42730;203003;5860;0;1344
453429;503111;33508;38640;178405;0;0;1352
448607;525573;43518;38791;180908;3540;0;1360
382140;467833;35766;37415;169189;0;0;1368
208800;248290;20935;29168;124145;0;0;1376
300048;345702;31983;31367;143615;1831;0;1384
220275;258605;25451;29921;136780;0;0;1392
248474;279845;31189;31053;144165;2991;0;1400
241943;292846;29907;31196;142883;2380;0;1408
260376;308959;31799;32154;147217;3479;0;1416
239989;288635;29236;30831;142455;3357;0;1424
231567;280822;28320;30049;137390;0;0;1432
253234;317382;31189;31880;148437;4577;0;1440
240600;292297;30152;31846;147644;3723;0;1448
262145;315490;31738;33252;150269;5554;0;1456
253783;280822;28503;31227;145630;3967;0;1464
267455;306151;31922;32696;148498;5615;0;1472
257141;304565;26733;31929;138611;2991;0;1480
220580;259765;19958;30756;130066;0;0;1488
228454;271484;22278;30943;134399;0;0;1496
227600;291992;27893;31224;138977;244;0;1504
244262;288452;25024;31955;135071;2259;0;1512
224548;261963;21363;32133;134705;0;0;1520
226745;269592;21362;31806;134948;0;0;1528
227355;270690;23865;31734;137756;0;0;1536
242004;299865;28687;32199;141907;671;0;1544
304321;339354;28869;35028;156066;1892;0;1552
234131;283385;24048;32432;138794;0;0;1560
238219;280089;22034;32819;138000;0;0;1568
232849;282287;23255;32602;140502;0;0;1576
236388;315795;28382;32579;141541;0;0;1584
263671;305053;27221;34180;147338;2137;0;1592
244567;285278;22034;33845;142517;0;0;1600
250061;296874;24353;32956;144836;0;0;1608
250671;296203;23621;33631;139465;0;0;1616
243834;303405;25940;33510;149902;0;0;1624
267517;316466;30152;34411;154541;2441;0;1632
242614;287292;22583;34885;143005;0;0;1640
417540;502990;39185;40170;181884;0;0;1648
246581;296386;24719;34113;149048;0;0;1656
257812;299377;25024;34474;149841;0;0;1664
263122;316955;31006;33737;149780;1404;0;1672
283203;339599;30029;37582;163513;2869;0;1680
251159;295226;23376;35534;152160;488;0;1688
252929;307067;25940;35136;151061;0;0;1696
257263;299682;25513;35300;157409;0;0;1704
255981;305724;27893;35076;155579;0;0;1712
269714;329344;29052;36097;161010;2991;0;1720
300292;353515;30518;38125;168945;2136;0;1728
260620;307311;24109;36116;150330;0;0;1736
261108;318359;27038;36152;156250;0;0;1744
268615;317626;27222;36847;156250;0;0;1752
260986;320373;26062;36232;154052;0;0;1760
281738;337279;30579;37466;167358;2502;0;1768
283752;330932;28015;37177;157837;2564;0;1776
270324;316588;24964;37417;156799;0;0;1784
274170;322081;25696;37510;160766;0;0;1792
267638;324523;25085;37032;154785;0;0;1800
351073;433226;40649;37926;172363;2625;0;1808
297179;355773;31372;37891;166504;2136;0;1816
295837;346251;29480;39230;167297;2625;0;1824
277587;323607;25634;37989;158568;0;0;1832
275573;327086;25635;37711;154907;0;0;1840
280578;327758;27221;38451;165649;0;0;1848
