CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
5556749;6199874;499144;406233;1904231;1526;0;800
5913071;6586226;536253;418723;1972957;1709;0;808
6064255;6754866;544188;430264;2028193;1526;0;816
6223372;6924176;540404;441873;2070368;2259;0;824
6678694;7584392;973569;478375;2367914;1526;0;832
6569380;7304119;568724;465108;2182001;0;0;840
6744185;7495281;562254;478892;2234613;2380;0;848
6975202;7755656;617186;492483;2316644;1648;0;856
6987592;7788310;619444;505287;2366327;2320;0;864
7325848;8131205;607603;517215;2415399;2258;0;872
7631999;8511514;705992;541264;2553887;1587;0;880
7898722;8825966;803953;555200;2649895;1526;0;888
8123331;9128212;949461;578870;2792351;1648;0;896
8215250;9122840;736083;578028;2720940;2563;0;904
8416360;9346534;759398;592765;2796074;1770;0;912
8589883;9528907;738585;604717;2844048;1831;0;920
8841347;9825659;811155;623096;2936699;2319;0;928
9247840;10291234;899839;645987;3072258;1831;0;936
9422217;10483067;921079;658340;3137992;1587;0;944
9636206;10728672;934934;675961;3210441;2197;0;952
9943090;11052096;953549;691431;3281241;1831;0;960
10027929;11127108;879331;703110;3309074;1831;0;968
11070345;12500273;1563961;764295;3807424;4090;0;976
10684909;11904266;1062253;745431;3556510;4272;0;984
10961642;12205291;1077268;766519;3651113;1892;0;992
11129061;12371978;1036375;778522;3685232;3723;0;1000
11759430;13101956;1215573;809069;3875173;2075;0;1008
11871674;13171109;1069882;817983;3876455;2198;0;1016
11794037;13136868;1154294;850079;3951040;1831;0;1024
12585112;14012721;1258359;867464;4145803;3968;0;1032
12827726;14295862;1349057;884720;4251149;4821;0;1040
13494899;15163291;1733517;928793;4564868;3601;0;1048
13552455;15175255;1585567;934010;4539356;3479;0;1056
13723231;15358726;1536190;964099;4659717;3357;0;1064
13900233;15499838;1440548;965449;4628101;4577;0;1072
14018763;15641134;1431027;975455;4668446;4456;0;1080
14273584;15833578;1285275;986920;4667651;2319;0;1088
14906822;16706622;1703182;1036744;5021655;4090;0;1096
14972984;16694659;1472774;1039979;4955187;3113;0;1104
15756369;17728775;2062494;1096112;5398301;3051;0;1112
15817037;17694413;1750545;1100974;5310717;3540;0;1120
15801840;17528092;1385982;1097493;5174364;1648;0;1128
16617145;18591444;1793697;1155580;5569626;3540;0;1136
17534990;19794993;2448480;1211157;6013657;3113;0;1144
16774798;18708204;1628902;1184195;5636460;4028;0;1152
17619523;19676829;1875483;1220409;5874558;3296;0;1160
18175063;20523995;2490595;1278814;6315719;3174;0;1168
18660353;20968513;2291071;1285646;6282149;3602;0;1176
18649976;21056831;2437555;1316727;6472762;6103;0;1184
18750867;20849800;1726802;1297433;6149642;3357;0;1192
19704052;22040715;2148371;1364038;6586104;3113;0;1200
20192148;22695498;2454278;1397481;6821698;5494;0;1208
19997141;22576785;2584038;1423470;6971845;3662;0;1216
20673226;23160402;2322870;1430651;6917585;3357;0;1224
21006172;23509766;2356806;1446724;7008222;5737;0;1232
21942998;24727109;2834832;1520279;7477520;4516;0;1240
22681827;25597591;3083305;1562013;7729594;5005;0;1248
23057802;26027888;3119376;1593127;7889567;6103;0;1256
23578859;26597588;3207450;1619067;8010539;1526;0;1264
22714480;25251278;2060969;1569600;7428631;3601;0;1272
23285890;26111017;2655084;1633252;7899577;5066;0;1280
25166378;28566638;3844778;1741322;8748391;5432;0;1288
23928101;26845574;2724358;1677692;8129862;5738;0;1296
25710688;28967150;3368095;1773341;8741127;3540;0;1304
24695493;27738760;2851861;1754258;8490640;4943;0;1312
25408016;28397327;2632134;1782256;8537271;5371;0;1320
25646174;28634876;2548211;1808136;8626077;4761;0;1328
26525261;29860397;3221855;1891746;9216774;5005;0;1336
26502984;29833115;3188834;1894561;9211036;5310;0;1344
27915334;31718547;4073720;2018402;10037571;4883;0;1352
27178824;30217147;2355463;1917911;9022010;0;0;1360
28528918;32175577;3592886;2044527;9995275;4944;0;1368
29304856;33356788;4413379;2124018;10596897;5615;0;1376
29171434;32867714;3568106;2091873;10201329;4882;0;1384
29722519;33516333;3690970;2136613;10409030;5310;0;1392
29777267;33419104;3298881;2136363;10299351;5859;0;1400
31344524;35559967;4448413;2264330;11210847;6836;0;1408
30899457;34594089;3251273;2207099;10578647;7934;0;1416
31803020;36027008;4340931;2304533;11373079;7446;0;1424
32545082;36744962;4150991;2355894;11530977;6653;0;1432
32055033;35812164;3167961;2288076;10884311;1770;0;1440
33199073;37485500;4199086;2413812;11797272;7263;0;1448
34148656;38726158;4747241;2478700;12260223;6897;0;1456
33830174;37981471;3730764;2431633;11688202;6104;0;1464
35733063;40770221;5560228;2622735;13145413;7569;0;1472
35527924;40121845;4498097;2582154;12609953;6592;0;1480
35723907;40204914;4166738;2591496;12530119;6103;0;1488
36632353;41489213;4935046;2664939;13121060;8606;0;1496
36929105;41613724;4490894;2668968;12984647;10254;0;1504
38204736;43321117;5250536;2792933;13763514;9522;0;1512
39455038;44943794;5894516;2904772;14465661;8423;0;1520
38908836;44052622;5194079;2839126;13956141;8850;0;1528
39361776;44279977;4599780;2855123;13735195;5188;0;1536
40588275;46057805;5640244;2968811;14658654;8667;0;1544
41537919;47393860;6386763;3066090;15336814;8667;0;1552
41455948;47046083;5786668;3038587;14995018;7752;0;1560
41515946;46612978;4546986;3015347;14457056;3174;0;1568
43033154;49020992;6414229;3176966;15800009;8056;0;1576
42959302;48580808;5542222;3145992;15396872;9155;0;1584
45503241;52373646;8081461;3396615;17290849;9033;0;1592
42962354;47897460;3859975;3109429;14646264;2442;0;1600
45417426;51385000;5934250;3324507;16278035;8056;0;1608
45787358;51645009;5606187;3340375;16263569;7385;0;1616
47031801;53520920;6836592;3480171;17254899;8972;0;1624
48667600;55980203;8536294;3634314;18464125;9399;0;1632
48370909;55103314;7154766;3589321;17870437;9278;0;1640
48780514;55530558;7174115;3611140;17935379;9094;0;1648
50507256;57750645;8010295;3750894;18779676;8667;0;1656
49583003;56244302;6819624;3656141;18001053;9094;0;1664
51343252;58649691;7997294;3821077;19129468;7446;0;1672
51237174;58174534;7158002;3785006;18694959;10070;0;1680
54143355;62033349;8932411;4033191;20331918;8728;0;1688
53254197;60501859;7451946;3949009;19484020;6165;0;1696
53587753;60729398;7181073;3949265;19408947;11292;0;1704
54687054;62265527;8011516;4062886;20201425;11292;0;1712
55449565;62886863;7533977;4100636;20137888;6409;0;1720
56559121;64618670;8831581;4213412;21055427;11535;0;1728
56416848;63982747;7626140;4189704;20605233;9948;0;1736
56516823;63431783;6063217;4133159;19783579;4638;0;1744
58740634;66892651;8610940;4366296;21669073;11047;0;1752
59875213;68354073;9192298;4457602;22286748;14160;0;1760
60467497;68881232;8929176;4505503;22385929;5493;0;1768
60865017;69202765;8676309;4515282;22355472;12573;0;1776
61072659;69493657;8775551;4558358;22567508;10559;0;1784
61237392;68772041;6661909;4485419;21535772;4456;0;1792
63799703;72871518;9854040;4774367;23854370;11475;0;1800
63485311;71954833;8474222;4701288;23079103;12207;0;1808
64189289;72307127;7492107;4726167;22854556;3296;0;1816
66210341;75703969;10357335;4968424;24876767;12512;0;1824
67220898;76700243;10188145;5011745;24988095;12024;0;1832
67064281;75838978;8542886;4966438;24257506;1648;0;1840
68087228;77345688;9416540;5085946;25068540;12634;0;1848
69211005;78808575;10078222;5160408;25589839;13611;0;1856
68271371;76259266;6333663;4996539;23610718;0;0;1864
72310545;82795320;11636811;5420169;27239615;12878;0;1872
71627991;81664830;10620945;5375032;26686150;13977;0;1880
74381279;85211818;12099762;5576155;28042164;14038;0;1888
74052789;84245024;10526279;5541013;27371573;12696;0;1896
75669606;85826501;10300633;5620695;27633963;14892;0;1904
76716051;87760640;12165802;5764490;28905260;12878;0;1912
78158308;89665175;12940335;5902892;29729904;15869;0;1920
76372119;86831870;10765353;5707459;28174794;12634;0;1928
80207925;92089486;13477382;6041240;30507368;16784;0;1936
78175398;89047074;11374116;5865584;29072435;12756;0;1944
80146828;90974926;10922335;5959654;29352158;16663;0;1952
80548805;91938912;12163971;6056789;30192305;13245;0;1960
83914153;96429380;14267297;6344801;32093301;15686;0;1968
84295927;96496029;13416469;6345674;31812358;10498;0;1976
86705528;99786243;15096031;6569818;33322974;16419;0;1984
85913660;98228509;13356289;6470876;32334390;12695;0;1992
87073325;99677541;13897792;6557801;32906227;18250;0;2000
89257523;102562177;15190330;6745757;34140660;10559;0;2008
91351695;105158666;16006978;6921446;35140596;17212;0;2016
89560073;102033613;13020414;6730061;33316382;11170;0;2024
92805487;106633394;15756551;7014301;35488068;16967;0;2032
91220835;103238017;11586579;6811093;33193030;11047;0;2040
92863593;105329321;13040860;6929928;33466833;18738;0;2048
96235960;110673118;16532306;7293040;36913602;8606;0;2056
97703546;112460893;17001300;7416943;37629603;17090;0;2064
94344363;106484103;11290011;7032440;34060459;8606;0;2072
98739127;112665666;14879722;7414997;36913113;19043;0;2080
99410756;113467056;15033348;7489020;37257656;7019;0;2088
101385910;116674018;17572404;7697278;39000633;20874;0;2096
101656234;116278206;15959371;7675338;38431176;8545;0;2104
101705611;116152474;15479514;7669479;38211816;19654;0;2112
101837997;115348154;13170010;7614324;37141994;8545;0;2120
104101357;118672609;15326743;7822903;38788902;18799;0;2128
104125649;118005313;13649135;7778653;38020288;9949;0;2136
108716274;125091965;18808179;8263484;41845840;21362;0;2144
106939302;121397943;14519616;8025984;39408224;7019;0;2152
112032245;129162572;20024851;8529402;43383800;20752;0;2160
110495872;125478073;15161643;8277243;40684588;7080;0;2168
114576184;132095670;20482431;8733740;44427438;20324;0;2176
110595481;124999253;13635158;8271106;40145344;5249;0;2184
114864696;131412505;18110733;8659812;43311291;22522;0;2192
114285718;129902133;15881185;8601276;42342726;5127;0;2200
116120553;132714687;17953323;8765642;43746959;23072;0;2208
115249461;130081943;13835475;8599196;41621781;5371;0;2216
120119932;137704909;19497081;9103540;45692144;24414;0;2224
117815128;133029017;14230371;8803534;42639234;5799;0;2232
121555658;138864269;18634657;9172665;45708806;22216;0;2240
119459045;134247520;12880705;8874946;42473402;5188;0;2248
126603069;145742730;22080937;9626497;48783201;23926;0;2256
124941941;141742679;16749285;9377596;45925908;3052;0;2264
127700113;146357047;20667122;9693317;48637327;24109;0;2272
125282455;141796390;15849752;9388330;45694890;3357;0;2280
128967993;147621143;20401315;9772017;48882382;24109;0;2288
127819619;144566891;16051045;9563530;46514651;3357;0;2296
134332847;154342806;22801028;10197498;51455312;25207;0;2304
130330844;147571155;16725909;9791735;47749328;1892;0;2312
138460034;159075459;22643558;10587768;53134934;101562;0;2320
139506235;160067339;23228945;10528257;53055650;2136;0;2328
135229024;152897252;16867754;10130571;49227474;0;0;2336
134939107;151569009;14388757;10027976;47888672;2686;0;2344
135948199;152386878;13597743;10109328;47963806;0;0;2352
138978648;156212673;15405600;10357296;49668818;16846;0;2360
155340300;180138699;28640125;12089014;61597255;364684;0;2368
167139343;194599843;30747296;13074531;66545362;755797;0;2376
154842072;176374670;22687869;11575255;57370947;90027;0;2384
176503577;203813199;31358868;13519846;68600471;323241;0;2392
171212452;198211529;29559006;13509557;68007577;181213;0;2400
172856003;200068946;31149761;13189861;67181163;260863;0;2408
162568126;186704967;27824208;12201748;61810145;78613;0;2416
160195879;184203508;28096913;12186575;61812525;81970;0;2424
168824214;195769274;30828351;13337037;67737498;205199;0;2432
168536617;193479546;28249439;12691455;64031453;111633;0;2440
173808088;201071873;31104046;13357297;67941721;366454;0;2448
175776588;203368681;31558391;13431434;68293710;356505;0;2456
161413466;182957417;22402713;12074693;59481537;0;0;2464
166032534;189936709;27006096;12618942;63351339;4517;0;2472
164604498;186485484;22527896;12340885;60694119;0;0;2480
163448862;184563065;20651925;12269311;59741851;0;0;2488
165657657;187520760;22252018;12417988;60897427;4150;0;2496
166156496;187805733;21592779;12457840;60883572;4517;0;2504
172007799;196359116;26953850;13045987;65220597;7385;0;2512
172194810;194748220;22745303;12887473;63098532;0;0;2520
168172544;187722298;16016255;12475542;58981783;2503;0;2528
