CORE,CPU,DRAM,DURATION,PSYS,UNCORE,EXIT_CODE,INPUT
2965141,3273063,220458,221933,1040525,0,0,800
3148613,3484427,235595,230525,1081296,0,0,808
3251884,3602469,239440,237433,1116635,0,0,816
3336479,3694205,251953,243361,1148434,2137,0,824
3360221,3723196,257385,248857,1171567,1953,0,832
3528434,3893789,261657,255758,1203854,0,0,840
3674429,4066762,284851,266550,1260312,0,0,848
3789419,4195424,300597,273082,1295529,0,0,856
3729727,4138600,288147,274595,1303890,366,0,864
4122304,4564930,323974,300598,1422543,1831,0,872
4113027,4556629,320800,296111,1405087,1587,0,880
4174672,4614613,316833,300479,1418820,2442,0,888
4155141,4607166,334228,305960,1440731,1343,0,896
4329701,4779895,317443,313004,1475277,1709,0,904
4508839,4983691,367370,322492,1538204,0,0,912
4559620,5033862,335388,328082,1546566,0,0,920
4659167,5145983,347411,335208,1581661,0,0,928
4800037,5292101,351684,344335,1626522,0,0,936
4981005,5518662,399535,355077,1686824,0,0,944
5050219,5573899,374572,362901,1708003,0,0,952
5278856,5843491,436645,378024,1793879,0,0,960
5290880,5836350,387084,379468,1783870,1709,0,968
5637437,6245224,494383,401000,1926875,1587,0,976
5571763,6143661,415099,399100,1890986,1587,0,984
5667649,6250960,421264,406025,1926997,1465,0,992
5838364,6432173,428466,417146,1979609,1709,0,1000
6212020,6876081,536375,447867,2146845,3113,0,1008
6161361,6800214,479125,439212,2091425,2136,0,1016
5888840,6509993,453734,439084,2040950,0,0,1024
6401534,7061384,479491,456937,2162164,0,0,1032
6607833,7298443,535949,470589,2243952,2014,0,1040
6835310,7563579,586546,482294,2306451,2075,0,1048
6835859,7542522,541137,489016,2328119,1953,0,1056
7004011,7718852,524474,497979,2341180,1587,0,1064
7263898,8010539,579527,515487,2444757,1587,0,1072
7435650,8209329,610961,525730,2489557,1953,0,1080
8008158,8911110,786070,580484,2806267,1831,0,1088
9122902,10248692,1013547,655353,3216423,38269,0,1096
9569495,10795260,1137754,668634,3327018,71961,0,1104
15197776,17210893,2003901,1010474,5103198,48950,0,1112
8302286,9169960,744322,582263,2806207,1648,0,1120
8400308,9267799,690489,592018,2830437,2014,0,1128
8743874,9676001,804014,610244,2947320,2259,0,1136
8894326,9829076,789365,621423,2989738,1464,0,1144
8834694,9776770,798338,631271,3037163,2137,0,1152
9302100,10263951,761961,660559,3159294,2441,0,1160
9178321,10139257,766905,654638,3138420,2380,0,1168
9639990,10655551,859129,673784,3246513,1648,0,1176
9594824,10601963,818663,683074,3275138,1892,0,1184
10017369,11091646,889402,698382,3362296,1648,0,1192
10095312,11165194,794248,706572,3372428,2258,0,1200
10397007,11528657,900999,723904,3483939,1526,0,1208
10426853,11570282,899656,737842,3541007,1892,0,1216
